Product,Live meat animals,Meats,Fish and shellfish 2/,Dairy,Vegetables,Fruits,Nuts,"Coffee, tea, and spices",Grains,Vegetable oils,Sugar and candy,Cocoa and chocolate,Other edible products,Beverages 3/,Liquors,Total animal foods,Total plant foods,Total beverages
1999,1189.673,3260.543,8859.783,930.314,3631.587,4764.456,793.942,3603.739,2659.484,1356.944,1617.654,1522.497,2121.489,4411.842,2381.87,14240.313,22071.792,6793.712
2000,1419.03,3827.666,9879.784,922.327,3771.363,4629.477,808.7,3441.755,2734.778,1362.453,1571.577,1404.471,2101.726,4815.905,2725.532,16048.807,21826.3,7541.437
2001,1771.188,4256.18,9663.26,995.753,4156.609,4665.207,670.22,2400.731,2989.796,1177.016,1580.901,1535.932,2251.984,5101.297,2846.977,16686.381,21428.396,7948.274
2002,1723.915,4283.459,9963.349,1008.77,4391.086,5067.561,700.519,2454.959,3342.798,1301.644,1842.611,1760.854,2481.981,5794.681,3091.121,16979.493,23344.013,8885.802
2003,1276.67,4426.804,10859.886,1110.298,5082.412,5557.736,775.582,2871.855,3618.216,1506.518,2130.769,2439.231,3637.179,6597.5,3438.202,17673.658,27619.498,10035.702
2004,1134.252,5718.502,11106.292,1292.302,5729.987,5962.378,1078.367,3144.276,4010.485,2240.954,2111.349,2484.383,4784.413,7024.264,3709.191,19251.348,31546.592,10733.455
2005,1672.046,5751.922,11840.228,1388.435,6043.082,6873.761,1121.938,3770.808,4240.661,2362.6,2473.691,2750.601,5536.421,7887.494,4089.899,20652.631,35173.563,11977.393
2006,2172.007,5243.628,13112.289,1405.669,6619.295,7707.091,1099.428,4194.912,4910.125,2818.316,3021.162,2659.227,5963.091,9212.123,4511.523,21933.593,38992.647,13723.646
2007,2587.963,5367.321,13434.57,1500.811,7256.042,9217.309,1181.41,4791.202,5914.783,3516.662,2606.162,2661.587,6080.004,9912.729,5047.663,22890.665,43225.161,14960.392
2008,2266.445,5059.819,13911.953,1595.568,7800.571,9888.158,1350.677,5580.842,7689.612,5694.638,3011.034,3298.821,6700.755,9832.884,5040.437,22833.785,51015.108,14873.321
2009,1655.531,4612.1,12933.853,1353.43,7525.205,9639.785,1278.298,5160.341,6846.104,4039.416,3081.151,3476.22,6111.261,8720.95,4787.029,20554.914,47157.781,13507.979
2010,2007.144,5087.842,14516.66,1347.198,8705.586,10648.976,1461.7,6265.019,7137.522,4508.833,4107.44,4295.163,6781.56,9262.835,5189.001,22958.844,53911.799,14451.836
2011,1886.48,5755.232,16459.37,1502.12,9666.64,11973.913,1863.236,9715.769,8062.835,6793.565,5207.373,4680.551,8133.175,10142.854,5733.78,25603.202,66097.057,15876.634
2012,2192.007,6245.208,16467.533,1604.166,9945.597,12537.873,1999.568,8725.69,9111.097,6235.874,4783.519,4095.686,10977.579,10858.462,6022.959,26508.914,68412.483,16881.421
2013,2190.168,6529.834,17784.323,1649.071,10733.513,13602.256,2000.193,7633.188,10256.996,6664.522,4327.398,4158.849,9830.99,11247.585,6391.748,28153.396,69207.905,17639.333
2014,3008.558,8940.36,20053.522,1844.34,10929.738,14807.721,2360.537,8298.813,10030.899,7336.604,4582.294,4727.952,9715.762,11964.048,6587.486,33846.78,72790.32,18551.534
2015,2772.507,9991.722,18520.795,1893.472,11290.193,15954.863,2767.26,8536.214,10030.168,6304.047,4705.266,4859.677,9591.568,12785.681,6774.193,33178.496,74039.256,19559.874
2016,2102.939,8589.096,19260.734,1875.769,12469.205,17157.015,2870.774,8310.906,10178.584,6521.577,4693.151,5080.62,9350.956,13492.881,7165.115,31828.538,76632.788,20657.996
2017,2019.974,8877.561,21324.071,1827.171,12742.979,18383.124,3300.622,9068.848,10860.801,7224.74,4720.458,5006.537,10133.877,14382.934,7362.937,34048.777,81441.986,21745.871
